"page_domain","3p_request_domain","3p_domain_owner","3p_domain_owner_country"
"bazonline.ch","tinypass.com","",""
"bazonline.ch","tribalfusion.com","Tribal Fusion","US"
"bazonline.ch","trustarc.com","TrustArc","US"
"bazonline.ch","truste.com","TrustArc","US"
"bazonline.ch","tx.group","",""
"bazonline.ch","unitycms.io","",""
"bazonline.ch","yieldlab.net","Yieldlab","DE"
"bernerzeitung.ch","20min.ch","",""
"bernerzeitung.ch","2mdn.net","DoubleClick","US"
"bernerzeitung.ch","adgrx.com","AdGear","CA"
"bernerzeitung.ch","adingo.jp","Fluct","JP"
"bernerzeitung.ch","adkernel.com","",""
"bernerzeitung.ch","adnxs.com","Xandr","US"
"bernerzeitung.ch","ads-twitter.com","Twitter","US"
"bernerzeitung.ch","adsafeprotected.com","Integral Ad Science","US"
"bernerzeitung.ch","adsrvr.org","The Trade Desk","US"
"bernerzeitung.ch","amazon-adsystem.com","Amazon Marketing Services","US"
"bernerzeitung.ch","casalemedia.com","Index Exchange","CA"
"bernerzeitung.ch","cloudflare.com","Cloudflare","US"
"bernerzeitung.ch","company-target.com","Demandbase","US"
"bernerzeitung.ch","cxense.com","Cxense","NO"
"bernerzeitung.ch","da-services.ch","",""
"bernerzeitung.ch","doubleclick.net","DoubleClick","US"
"bernerzeitung.ch","emxdgt.com","Engine Media Exchange","US"
"bernerzeitung.ch","facebook.com","Facebook","US"
"bernerzeitung.ch","facebook.net","Facebook","US"
"bernerzeitung.ch","fksnk.com","",""
"bernerzeitung.ch","google-analytics.com","Google Analytics","US"
"bernerzeitung.ch","google.ch","Google","US"
"bernerzeitung.ch","google.com","Google","US"
"bernerzeitung.ch","googleadservices.com","AdSense","US"
"bernerzeitung.ch","googleapis.com","Google APIs","US"
"bernerzeitung.ch","googlesyndication.com","AdSense","US"
"bernerzeitung.ch","googletagmanager.com","Google Tag Manager","US"
"bernerzeitung.ch","googletagservices.com","Google Tag Manager","US"
"bernerzeitung.ch","gstatic.com","Google","US"
"bernerzeitung.ch","indexww.com","Index Exchange","CA"
"bernerzeitung.ch","mpod.ch","",""
"bernerzeitung.ch","mts.ru","",""
"bernerzeitung.ch","opecloud.com","",""
"bernerzeitung.ch","parsely.com","Parsely","US"
"bernerzeitung.ch","piano.io","",""
"bernerzeitung.ch","polyfill.io","",""
"bernerzeitung.ch","sc-static.net","",""
"bernerzeitung.ch","scorecardresearch.com","ScorecardResearch","US"
"bernerzeitung.ch","snapchat.com","",""
"bernerzeitung.ch","t.co","Twitter","US"
"bernerzeitung.ch","tagesanzeiger.ch","",""
"bernerzeitung.ch","tamedia.ch","",""
"bernerzeitung.ch","tamedia.link","",""
"bernerzeitung.ch","tda.link","",""
"bernerzeitung.ch","tiktok.com","",""
"bernerzeitung.ch","tinypass.com","",""
"bernerzeitung.ch","trustarc.com","TrustArc","US"
"bernerzeitung.ch","truste.com","TrustArc","US"
"bernerzeitung.ch","turn.com","Turn","US"
"bernerzeitung.ch","twitter.com","Twitter","US"
"bernerzeitung.ch","tx.group","",""
"bernerzeitung.ch","unitycms.io","",""
"bernerzeitung.ch","yieldmo.com","Yieldmo","US"
"bernerzeitung.ch","zemanta.com","",""
"lematin.ch","adnxs.com","Xandr","US"
"lematin.ch","adsafeprotected.com","Integral Ad Science","US"
"lematin.ch","cookielaw.org","",""
"lematin.ch","da-services.ch","",""
"lematin.ch","doubleclick.net","DoubleClick","US"
"lematin.ch","facebook.com","Facebook","US"
"lematin.ch","facebook.net","Facebook","US"
"lematin.ch","google-analytics.com","Google Analytics","US"
"lematin.ch","google.ch","Google","US"
"lematin.ch","google.com","Google","US"
"lematin.ch","googletagmanager.com","Google Tag Manager","US"
"lematin.ch","mpod.ch","",""
"lematin.ch","onetrust.com","",""
"lematin.ch","opecloud.com","",""
"lematin.ch","scorecardresearch.com","ScorecardResearch","US"
"lematin.ch","tamedia.link","",""
"lematin.ch","tda.link","",""
"lematin.ch","tiktok.com","",""
"lematin.ch","unitycms.io","",""
"lenouvelliste.ch","adnxs-simple.com","",""
"lenouvelliste.ch","adnxs.com","Xandr","US"
"lenouvelliste.ch","adnz.co","",""
"lenouvelliste.ch","amazonaws.com","Amazon Web Services","US"
"lenouvelliste.ch","casalemedia.com","Index Exchange","CA"
"lenouvelliste.ch","doubleclick.net","DoubleClick","US"
"lenouvelliste.ch","facebook.com","Facebook","US"
"lenouvelliste.ch","facebook.net","Facebook","US"
"lenouvelliste.ch","google-analytics.com","Google Analytics","US"
"lenouvelliste.ch","google.ch","Google","US"
"lenouvelliste.ch","google.com","Google","US"
"lenouvelliste.ch","googleadservices.com","AdSense","US"
"lenouvelliste.ch","googleapis.com","Google APIs","US"
"lenouvelliste.ch","googlesyndication.com","AdSense","US"
"lenouvelliste.ch","googletagmanager.com","Google Tag Manager","US"
"lenouvelliste.ch","iframe.ly","",""
"lenouvelliste.ch","mpod.ch","",""
"lenouvelliste.ch","parsely.com","Parsely","US"
"lenouvelliste.ch","scorecardresearch.com","ScorecardResearch","US"
"lenouvelliste.ch","squeezely.tech","",""
"lenouvelliste.ch","typekit.net","Adobe Fonts","US"
"letemps.ch","2mdn.net","DoubleClick","US"
"letemps.ch","360yield.com","Improve Digital","NL"
"letemps.ch","3lift.com","TripleLift","US"
"letemps.ch","admeira.ch","",""
"letemps.ch","adnxs-simple.com","",""
"letemps.ch","adnxs.com","Xandr","US"
"letemps.ch","adsafeprotected.com","Integral Ad Science","US"
"letemps.ch","advertising.com","ONE by Aol","US"
"letemps.ch","bidswitch.net","Bidswitch","US"
"letemps.ch","brandmetrics.com","",""
"letemps.ch","casalemedia.com","Index Exchange","CA"
"letemps.ch","criteo.com","Criteo","FR"
"letemps.ch","criteo.net","Criteo","FR"
"letemps.ch","cwi.re","",""
"letemps.ch","dmxleo.com","",""
"letemps.ch","doubleclick.net","DoubleClick","US"
"letemps.ch","facebook.com","Facebook","US"
"letemps.ch","facebook.net","Facebook","US"
"letemps.ch","google-analytics.com","Google Analytics","US"
"letemps.ch","google.ch","Google","US"
"letemps.ch","google.com","Google","US"
"letemps.ch","googleapis.com","Google APIs","US"
"letemps.ch","googlesyndication.com","AdSense","US"
"letemps.ch","googletagmanager.com","Google Tag Manager","US"
"letemps.ch","googletagservices.com","Google Tag Manager","US"
"letemps.ch","gstatic.com","Google","US"
"letemps.ch","hotjar.com","Hotjar","MT"
"letemps.ch","licdn.com","LinkedIn","US"
"letemps.ch","linkedin.com","LinkedIn","US"
"letemps.ch","media.net","Media.net","US"
"letemps.ch","mediavine.com","",""
"letemps.ch","mpod.ch","",""
"letemps.ch","ocdn.eu","",""
"letemps.ch","omnitagjs.com","ADYOULIKE","US"
"letemps.ch","onet.pl","",""
"letemps.ch","opecloud.com","",""
"letemps.ch","outbrain.com","Outbrain","US"
"letemps.ch","parsely.com","Parsely","US"
"letemps.ch","piano.io","",""
"letemps.ch","postrelease.com","Nativo","US"
"letemps.ch","pubmatic.com","PubMatic","US"
"letemps.ch","rlcdn.com","LiveRamp","US"
"letemps.ch","rubiconproject.com","Rubicon Project","US"
"letemps.ch","scorecardresearch.com","ScorecardResearch","US"
"letemps.ch","sharethrough.com","Sharethrough","US"
"letemps.ch","smaato.net","",""
"letemps.ch","smartadserver.com","Smart AdServer","FR"
"letemps.ch","taboola.com","Taboola","US"
"letemps.ch","teads.tv","Teads","US"
"letemps.ch","tinypass.com","",""
"letemps.ch","tumblr.com","Tumblr","US"
"letemps.ch","yahoo.com","Yahoo","US"
"letemps.ch","yieldlab.net","Yieldlab","DE"
"luzernerzeitung.ch","adconsole.ch","",""
"luzernerzeitung.ch","adnxs-simple.com","",""
"luzernerzeitung.ch","adnxs.com","Xandr","US"
"luzernerzeitung.ch","adnz.co","",""
"luzernerzeitung.ch","ads-twitter.com","Twitter","US"
"luzernerzeitung.ch","businessclick.ch","",""
"luzernerzeitung.ch","casalemedia.com","Index Exchange","CA"
"luzernerzeitung.ch","chartbeat.com","Chartbeat","US"
"luzernerzeitung.ch","chartbeat.net","Chartbeat","US"
"luzernerzeitung.ch","chmedia.ch","",""
"luzernerzeitung.ch","cloudflare.com","Cloudflare","US"
"luzernerzeitung.ch","danzz.ch","",""
"luzernerzeitung.ch","demdex.net","Adobe Audience Manager","US"
"luzernerzeitung.ch","doubleclick.net","DoubleClick","US"
"luzernerzeitung.ch","everesttech.net","Adobe Experience Cloud","US"
"luzernerzeitung.ch","facebook.com","Facebook","US"
"luzernerzeitung.ch","facebook.net","Facebook","US"
"luzernerzeitung.ch","google.ch","Google","US"
"luzernerzeitung.ch","google.com","Google","US"
"luzernerzeitung.ch","googleadservices.com","AdSense","US"
"luzernerzeitung.ch","googlesyndication.com","AdSense","US"
"luzernerzeitung.ch","jsdelivr.net","jsDelivr","US"
"luzernerzeitung.ch","kameleoon.eu","",""
"luzernerzeitung.ch","licdn.com","LinkedIn","US"
"luzernerzeitung.ch","linkedin.com","LinkedIn","US"
"luzernerzeitung.ch","mpod.ch","",""
"luzernerzeitung.ch","nzz.ch","",""
"luzernerzeitung.ch","omtrdc.net","Adobe Experience Cloud","US"
"luzernerzeitung.ch","scorecardresearch.com","ScorecardResearch","US"
"luzernerzeitung.ch","smartlook.cloud","",""
"luzernerzeitung.ch","smartlook.com","",""
"luzernerzeitung.ch","static-chmedia.ch","",""
"luzernerzeitung.ch","t.co","Twitter","US"
"luzernerzeitung.ch","twitter.com","Twitter","US"
"luzernerzeitung.ch","urbanairship.com","",""
"luzernerzeitung.ch","zentraljob.ch","",""
"tagesanzeiger.ch","2mdn.net","DoubleClick","US"
"tagesanzeiger.ch","3lift.com","TripleLift","US"
"tagesanzeiger.ch","addthis.com","AddThis","US"
"tagesanzeiger.ch","adform.net","AdForm","DK"
"tagesanzeiger.ch","adingo.jp","Fluct","JP"
"tagesanzeiger.ch","adnxs.com","Xandr","US"
"tagesanzeiger.ch","adriver.ru","Adriver","RU"
"tagesanzeiger.ch","ads-twitter.com","Twitter","US"
"tagesanzeiger.ch","adsafeprotected.com","Integral Ad Science","US"
"tagesanzeiger.ch","adsafety.net","",""
"tagesanzeiger.ch","adsrvr.org","The Trade Desk","US"
"tagesanzeiger.ch","advertising.com","ONE by Aol","US"
"tagesanzeiger.ch","amazon-adsystem.com","Amazon Marketing Services","US"
"tagesanzeiger.ch","bing.com","Bing","US"
"tagesanzeiger.ch","bluekai.com","Oracle Blue Kai","US"
"tagesanzeiger.ch","brand-display.com","",""
"tagesanzeiger.ch","casalemedia.com","Index Exchange","CA"
"tagesanzeiger.ch","clarity.ms","",""
"tagesanzeiger.ch","clean.gg","",""
"tagesanzeiger.ch","cloudflare.com","Cloudflare","US"
"tagesanzeiger.ch","cloudfront.net","Amazon","US"
"tagesanzeiger.ch","crwdcntrl.net","Lotame","US"
"tagesanzeiger.ch","cxense.com","Cxense","NO"
"tagesanzeiger.ch","da-services.ch","",""
"tagesanzeiger.ch","de17a.com","",""
"tagesanzeiger.ch","demdex.net","Adobe Audience Manager","US"
"tagesanzeiger.ch","doubleclick.net","DoubleClick","US"
"tagesanzeiger.ch","facebook.com","Facebook","US"
"tagesanzeiger.ch","facebook.net","Facebook","US"
"tagesanzeiger.ch","google-analytics.com","Google Analytics","US"
"tagesanzeiger.ch","google.ch","Google","US"
"tagesanzeiger.ch","google.com","Google","US"
"tagesanzeiger.ch","googleadservices.com","AdSense","US"
"tagesanzeiger.ch","googleapis.com","Google APIs","US"
"tagesanzeiger.ch","googlesyndication.com","AdSense","US"
"tagesanzeiger.ch","googletagmanager.com","Google Tag Manager","US"
"tagesanzeiger.ch","googletagservices.com","Google Tag Manager","US"
"tagesanzeiger.ch","gstatic.com","Google","US"
"tagesanzeiger.ch","indexww.com","Index Exchange","CA"
"tagesanzeiger.ch","krxd.net","Salesforce DMP","US"
"tagesanzeiger.ch","lemonpi.io","",""
"tagesanzeiger.ch","linkedin.com","LinkedIn","US"
"tagesanzeiger.ch","mpod.ch","",""
"tagesanzeiger.ch","mts.ru","",""
"tagesanzeiger.ch","onetag-sys.com","",""
"tagesanzeiger.ch","opecloud.com","",""
"tagesanzeiger.ch","openx.net","OpenX","US"
"tagesanzeiger.ch","parsely.com","Parsely","US"
"tagesanzeiger.ch","piano.io","",""
"tagesanzeiger.ch","pinimg.com","Pinterest","US"
"tagesanzeiger.ch","pinterest.com","Pinterest","US"
"tagesanzeiger.ch","pubmatic.com","PubMatic","US"
"tagesanzeiger.ch","rfihub.com","Rocketfuel","US"
"tagesanzeiger.ch","rubiconproject.com","Rubicon Project","US"
"tagesanzeiger.ch","sc-static.net","",""
"tagesanzeiger.ch","scorecardresearch.com","ScorecardResearch","US"
"tagesanzeiger.ch","simpli.fi","simpli.fi","US"
"tagesanzeiger.ch","sitescout.com","SiteScout","US"
"tagesanzeiger.ch","smartadserver.com","Smart AdServer","FR"
"tagesanzeiger.ch","smartclip.net","",""
"tagesanzeiger.ch","smartstream.tv","",""
"tagesanzeiger.ch","snapchat.com","",""
"tagesanzeiger.ch","sniperlog.ru","",""
"tagesanzeiger.ch","spotxchange.com","Spot X Change","US"
"tagesanzeiger.ch","stickyadstv.com","StickyADS.tv","US"
"tagesanzeiger.ch","t.co","Twitter","US"
"tagesanzeiger.ch","tamedia.ch","",""
"tagesanzeiger.ch","tamedia.link","",""
"tagesanzeiger.ch","tda.link","",""
"tagesanzeiger.ch","teads.tv","Teads","US"
"tagesanzeiger.ch","tiktok.com","",""
"tagesanzeiger.ch","tinypass.com","",""
"tagesanzeiger.ch","tremorhub.com","Tremor Video","US"
"tagesanzeiger.ch","twitter.com","Twitter","US"
"tagesanzeiger.ch","tx.group","",""
"tagesanzeiger.ch","unitycms.io","",""
"tagesanzeiger.ch","w55c.net","DataXu","US"
"tagesanzeiger.ch","yahoo.com","Yahoo","US"
"tagesanzeiger.ch","yieldlab.net","Yieldlab","DE"
